83	98,10 €	780,09 €	130 022,00 €	0,00 €	878,19 €
84	97,51 €	780,67 €	129 242,00 €	0,00 €	878,19 €
85	96,93 €	781,26 €	128 460,00 €	0,00 €	878,19 €
86	96,34 €	781,84 €	127 679,00 €	0,00 €	878,19 €
87	95,75 €	782,43 €	126 896,00 €	0,00 €	878,19 €
88	95,17 €	783,02 €	126 113,00 €	0,00 €	878,19 €
89	94,58 €	783,60 €	125 329,00 €	0,00 €	878,19 €
90	93,99 €	784,19 €	124 545,00 €	0,00 €	878,19 €
91	93,40 €	784,78 €	123 760,00 €	0,00 €	878,19 €
92	92,82 €	785,37 €	122 975,00 €	0,00 €	878,19 €
93	92,23 €	785,96 €	122 189,00 €	0,00 €	878,19 €
94	91,64 €	786,55 €	121 403,00 €	0,00 €	878,19 €
95	91,05 €	787,14 €	120 615,00 €	0,00 €	878,19 €
96	90,46 €	787,73 €	119 828,00 €	0,00 €	878,19 €
97	89,87 €	788,32 €	119 039,00 €	0,00 €	878,19 €
98	89,27 €	788,91 €	118 250,00 €	0,00 €	878,19 €
99	88,68 €	789,50 €	117 461,00 €	0,00 €	878,19 €
100	88,09 €	790,09 €	116 671,00 €	0,00 €	878,19 €
101	87,50 €	790,68 €	115 880,00 €	0,00 €	878,19 €
102	86,91 €	791,28 €	115 089,00 €	0,00 €	878,19 €
103	86,31 €	791,87 €	114 297,00 €	0,00 €	878,19 €
104	85,72 €	792,46 €	113 505,00 €	0,00 €	878,19 €
105	85,12 €	793,06 €	112 711,00 €	0,00 €	878,19 €
106	84,53 €	793,65 €	111 918,00 €	0,00 €	878,19 €
107	83,93 €	794,25 €	111 124,00 €	0,00 €	878,19 €
108	83,34 €	794,84 €	110 329,00 €	0,00 €	878,19 €
109	82,74 €	795,44 €	109 533,00 €	0,00 €	878,19 €
110	82,14 €	796,04 €	108 737,00 €	0,00 €	878,19 €
111	81,55 €	796,63 €	107 941,00 €	0,00 €	878,19 €
112	80,95 €	797,23 €	107 143,00 €	0,00 €	878,19 €
113	80,35 €	797,83 €	106 346,00 €	0,00 €	878,19 €
114	79,75 €	798,43 €	105 547,00 €	0,00 €	878,19 €
115	79,16 €	799,03 €	104 748,00 €	0,00 €	878,19 €
116	78,56 €	799,63 €	103 948,00 €	0,00 €	878,19 €
117	77,96 €	800,23 €	103 148,00 €	0,00 €	878,19 €
118	77,36 €	800,83 €	102 347,00 €	0,00 €	878,19 €
119	76,76 €	801,43 €	101 546,00 €	0,00 €	878,19 €
120	76,15 €	802,03 €	100 744,00 €	0,00 €	878,19 €
121	75,55 €	802,63 €	99 941,00 €	0,00 €	878,19 €
122	74,95 €	803,23 €	99 138,00 €	0,00 €	878,19 €
123	74,35 €	803,83 €	98 334,00 €	0,00 €	878,19 €
124	73,75 €	804,44 €	97 530,00 €	0,00 €	878,19 €
125	73,14 €	805,04 €	96 725,00 €	0,00 €	878,19 €
126	72,54 €	805,64 €	95 919,00 €	0,00 €	878,19 €
127	71,93 €	806,25 €	95 113,00 €	0,00 €	878,19 €
128	71,33 €	806,85 €	94 306,00 €	0,00 €	878,19 €
129	70,72 €	807,46 €	93 498,00 €	0,00 €	878,19 €
130	70,12 €	808,06 €	92 690,00 €	0,00 €	878,19 €
131	69,51 €	808,67 €	91 882,00 €	0,00 €	878,19 €
132	68,91 €	809,28 €	91 072,00 €	0,00 €	878,19 €
133	68,30 €	809,88 €	90 263,00 €	0,00 €	878,19 €
134	67,69 €	810,49 €	89 452,00 €	0,00 €	878,19 €
135	67,08 €	811,10 €	88 641,00 €	0,00 €	878,19 €
136	66,48 €	811,71 €	87 829,00 €	0,00 €	878,19 €
137	65,87 €	812,32 €	87 017,00 €	0,00 €	878,19 €
138	65,26 €	812,92 €	86 204,00 €	0,00 €	878,19 €
139	64,65 €	813,53 €	85 390,00 €	0,00 €	878,19 €
140	64,04 €	814,14 €	84 576,00 €	0,00 €	878,19 €
141	63,43 €	814,76 €	83 762,00 €	0,00 €	878,19 €
142	62,82 €	815,37 €	82 946,00 €	0,00 €	878,19 €
143	62,20 €	815,98 €	82 130,00 €	0,00 €	878,19 €
144	61,59 €	816,59 €	81 314,00 €	0,00 €	878,19 €
145	60,98 €	817,20 €	80 496,00 €	0,00 €	878,19 €
146	60,37 €	817,82 €	79 679,00 €	0,00 €	878,19 €
147	59,75 €	818,43 €	78 860,00 €	0,00 €	878,19 €
148	59,14 €	819,04 €	78 041,00 €	0,00 €	878,19 €
149	58,53 €	819,66 €	77 221,00 €	0,00 €	878,19 €
150	57,91 €	820,27 €	76 401,00 €	0,00 €	878,19 €
151	57,30 €	820,89 €	75 580,00 €	0,00 €	878,19 €
152	56,68 €	821,50 €	74 759,00 €	0,00 €	878,19 €
153	56,06 €	822,12 €	73 937,00 €	0,00 €	878,19 €
154	55,45 €	822,74 €	73 114,00 €	0,00 €	878,19 €
155	54,83 €	823,35 €	72 291,00 €	0,00 €	878,19 €
156	54,21 €	823,97 €	71 467,00 €	0,00 €	878,19 €
157	53,59 €	824,59 €	70 642,00 €	0,00 €	878,19 €
158	52,98 €	825,21 €	69 817,00 €	0,00 €	878,19 €
159	52,36 €	825,83 €	68 991,00 €	0,00 €	878,19 €
160	51,74 €	826,44 €	68 164,00 €	0,00 €	878,19 €
161	51,12 €	827,06 €	67 337,00 €	0,00 €	878,19 €
162	50,50 €	827,68 €	66 510,00 €	0,00 €	878,19 €
163	49,88 €	828,31 €	65 681,00 €	0,00 €	878,19 €
164	49,26 €	828,93 €	64 852,00 €	0,00 €	878,19 €
165	48,63 €	829,55 €	64 023,00 €	0,00 €	878,19 €
166	48,01 €	830,17 €	63 193,00 €	0,00 €	878,19 €
167	47,39 €	830,79 €	62 362,00 €	0,00 €	878,19 €
168	46,77 €	831,42 €	61 531,00 €	0,00 €	878,19 €
169	46,14 €	832,04 €	60 698,00 €	0,00 €	878,19 €
170	45,52 €	832,66 €	59 866,00 €	0,00 €	878,19 €
171	44,89 €	833,29 €	59 033,00 €	0,00 €	878,19 €
172	44,27 €	833,91 €	58 199,00 €	0,00 €	878,19 €
173	43,64 €	834,54 €	57 364,00 €	0,00 €	878,19 €
174	43,02 €	835,16 €	56 529,00 €	0,00 €	878,19 €
175	42,39 €	835,79 €	55 693,00 €	0,00 €	878,19 €
176	41,76 €	836,42 €	54 857,00 €	0,00 €	878,19 €
177	41,14 €	837,05 €	54 020,00 €	0,00 €	878,19 €
178	40,51 €	837,67 €	53 182,00 €	0,00 €	878,19 €
179	39,88 €	838,30 €	52 344,00 €	0,00 €	878,19 €
180	39,25 €	838,93 €	51 505,00 €	0,00 €	878,19 €
181	38,62 €	839,56 €	50 665,00 €	0,00 €	878,19 €
182	37,99 €	840,19 €	49 825,00 €	0,00 €	878,19 €
183	37,36 €	840,82 €	48 984,00 €	0,00 €	878,19 €
184	36,73 €	841,45 €	48 143,00 €	0,00 €	878,19 €
185	36,10 €	842,08 €	47 301,00 €	0,00 €	878,19 €
186	35,47 €	842,71 €	46 458,00 €	0,00 €	878,19 €
187	34,84 €	843,34 €	45 615,00 €	0,00 €	878,19 €
188	34,21 €	843,98 €	44 771,00 €	0,00 €	878,19 €
189	33,57 €	844,61 €	43 926,00 €	0,00 €	878,19 €
190	32,94 €	845,24 €	43 081,00 €	0,00 €	878,19 €
191	32,31 €	845,88 €	42 235,00 €	0,00 €	878,19 €
192	31,67 €	846,51 €	41 388,00 €	0,00 €	878,19 €
193	31,04 €	847,15 €	40 541,00 €	0,00 €	878,19 €
194	30,40 €	847,78 €	39 693,00 €	0,00 €	878,19 €
195	29,77 €	848,42 €	38 845,00 €	0,00 €	878,19 €
196	29,13 €	849,05 €	37 996,00 €	0,00 €	878,19 €
197	28,49 €	849,69 €	37 146,00 €	0,00 €	878,19 €
198	27,85 €	850,33 €	36 296,00 €	0,00 €	878,19 €
199	27,22 €	850,97 €	35 445,00 €	0,00 €	878,19 €
200	26,58 €	851,60 €	34 593,00 €	0,00 €	878,19 €
201	25,94 €	852,24 €	33 741,00 €	0,00 €	878,19 €
202	25,30 €	852,88 €	32 888,00 €	0,00 €	878,19 €
203	24,66 €	853,52 €	32 035,00 €	0,00 €	878,19 €
204	24,02 €	854,16 €	31 180,00 €	0,00 €	878,19 €
205	23,38 €	854,80 €	30 326,00 €	0,00 €	878,19 €
206	22,74 €	855,44 €	29 470,00 €	0,00 €	878,19 €
207	22,10 €	856,09 €	28 614,00 €	0,00 €	878,19 €
208	21,46 €	856,73 €	27 757,00 €	0,00 €	878,19 €
209	20,81 €	857,37 €	26 900,00 €	0,00 €	878,19 €
210	20,17 €	858,01 €	26 042,00 €	0,00 €	878,19 €
211	19,53 €	858,66 €	25 183,00 €	0,00 €	878,19 €
212	18,88 €	859,30 €	24 324,00 €	0,00 €	878,19 €
213	18,24 €	859,94 €	23 464,00 €	0,00 €	878,19 €
214	17,59 €	860,59 €	22 603,00 €	0,00 €	878,19 €
215	16,95 €	861,24 €	21 742,00 €	0,00 €	878,19 €
216	16,30 €	861,88 €	20 880,00 €	0,00 €	878,19 €
217	15,66 €	862,53 €	20 018,00 €	0,00 €	878,19 €
218	15,01 €	863,17 €	19 155,00 €	0,00 €	878,19 €
219	14,36 €	863,82 €	18 291,00 €	0,00 €	878,19 €
220	13,71 €	864,47 €	17 426,00 €	0,00 €	878,19 €
221	13,06 €	865,12 €	16 561,00 €	0,00 €	878,19 €
222	12,42 €	865,77 €	15 695,00 €	0,00 €	878,19 €
223	11,77 €	866,42 €	14 829,00 €	0,00 €	878,19 €
224	11,12 €	867,07 €	13 962,00 €	0,00 €	878,19 €
225	10,47 €	867,72 €	13 094,00 €	0,00 €	878,19 €
226	9,82 €	868,37 €	12 226,00 €	0,00 €	878,19 €
227	9,16 €	869,02 €	11 357,00 €	0,00 €	878,19 €
228	8,51 €	869,67 €	10 487,00 €	0,00 €	878,19 €
229	7,86 €	870,32 €	9 617,00 €	0,00 €	878,19 €
230	7,21 €	870,98 €	8 746,00 €	0,00 €	878,19 €
231	6,55 €	871,63 €	7 874,00 €	0,00 €	878,19 €
232	5,90 €	872,28 €	7 002,00 €	0,00 €	878,19 €
233	5,25 €	872,94 €	6 129,00 €	0,00 €	878,19 €
234	4,59 €	873,59 €	5 255,00 €	0,00 €	878,19 €
235	3,94 €	874,25 €	4 381,00 €	0,00 €	878,19 €
236	3,28 €	874,90 €	3 506,00 €	0,00 €	878,19 €
237	2,62 €	875,56 €	2 631,00 €	0,00 €	878,19 €
238	1,97 €	876,21 €	1 754,00 €	0,00 €	878,19 €
239	1,31 €	876,87 €	878,00 €	0,00 €	878,19 €
240	0,65 €	877,53 €	0,00 €	0,00 €	878,19 €
